config,n_vlinks,scheme,n_fabrics,bw,jitdef,delays_max,delays_mean,jitters_max,jitters_mean,time,rate,size_factor,smax_max,smax_mean,bw_min,bw_max,bw_mean,bw_var,bw_min_orig,bw_max_orig,bw_mean_orig,bw_var_orig,error,times_calc,topology,config_id,config_dir
"diamond-48e-4L_final_vls_3",500,cioq,8,0.025,0,3107.5,1821.0333333333322,3104.0,1818.6663333333336,0.075977,125000,2.6844196284763235,4074,2764.946,0.00257,0.024998,0.011449,0.004573,0.000958,0.009313,0.004266,0.001704,"",1,"diamond-48e-4L",3,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_1",500,cioq,8,0.025,0,3668.3333333333335,2193.141666666668,3663.3333333333335,2189.6629999999996,0.12283,125000,2.5725457913150858,3894,2638.346,0.001088,0.024994,0.008926,0.004669,0.000423,0.009718,0.00347,0.001815,"",1,"double_reserve_mod-48e-6L",1,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_2",500,cioq,8,0.025,0,3260.0,1978.5340000000006,3255.0,1975.1319999999994,0.093122,125000,2.405696689761355,3651,2561.02,0.00083,0.024996,0.00855,0.004629,0.000345,0.010392,0.003555,0.001925,"",1,"double_reserve_mod-48e-6L",2,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_3",500,cioq,8,0.025,0,3635.0,2130.579000000001,3631.0,2127.1943333333325,0.089501,125000,2.714440825190011,4087,2848.372,0.000217,0.024994,0.009103,0.004889,8e-05,0.00921,0.003354,0.001802,"",1,"double_reserve_mod-48e-6L",3,"vlconfigs/msggen1"
"2s-4e_final_vls_1",500,cioq,8,0.025,0,2504.0,1880.693999999999,2501.0,1878.451000000001,0.222576,125000,0.42483771199401826,642,390.108,0.010868,0.024963,0.017904,0.005304,0.02561,0.058846,0.042201,0.012505,"",1,"2s-4e",1,"vlconfigs/msggen2"
"2s-4e_final_vls_2",500,cioq,8,0.025,0,2494.0,1934.899333333334,2491.0,1932.6856666666665,0.247724,125000,0.43186097531482665,654,386.448,0.006396,0.024967,0.017494,0.006077,0.014827,0.057889,0.040561,0.01409,"",1,"2s-4e",2,"vlconfigs/msggen2"
"2s-4e_final_vls_3",500,cioq,8,0.025,0,3185.0,2302.662666666666,3183.0,2300.451333333333,0.238029,125000,0.5254308532997058,797,477.214,0.010281,0.024975,0.018361,0.005295,0.019588,0.04758,0.034982,0.010088,"",1,"2s-4e",3,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_1",500,cioq,8,0.025,0,2998.6666666666665,1674.106666666666,2995.6666666666665,1671.8390000000004,0.081466,125000,2.3645133831457485,3589,2159.732,0.001134,0.024993,0.007991,0.005105,0.00048,0.010573,0.00338,0.002159,"",1,"3s-48e-4L",1,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_2",500,cioq,8,0.025,0,2940.5,1625.8623333333335,2937.5,1623.6016666666665,0.078605,125000,2.2504275812404355,3398,2089.45,0.001413,0.02499,0.008417,0.005505,0.000628,0.011109,0.003741,0.002447,"",1,"3s-48e-4L",2,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_3",500,cioq,8,0.025,0,2011.6666666666667,971.4023333333331,2008.6666666666667,969.1649999999996,0.076183,125000,1.4264521282665754,2165,1306.656,0.00074,0.024983,0.005375,0.003744,0.000519,0.017526,0.003769,0.002626,"",1,"3s-48e-4L",3,"vlconfigs/msggen2"
